Gender,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education? ,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen? ,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good. ,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Do you believe in ghosts?
Male,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Female,45-54,Independent,Strongly disapprove,Some college,Latino,Married,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,DK/REF,DK/REF,Acceptable,Yes
Female,55-64,Democrat,DK/REF,College degree,White,Single,Unlikely,Real but not Caused by People,3,Strongly Agree,Strongly Agree,About Right,DK/REF,DK/REF,Unacceptable,No
Female,55-64,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,65+,DK/REF,Strongly disapprove,Some college,DK/REF,Widowed,DK/REF,DK/REF,0,DK/REF,DK/REF,Too Low,TRUE,Smart and Sad,DK/REF,No
Male,35-44,DK/REF,Strongly disapprove,College degree,DK/REF,Single,Unlikely,Real but not Caused by People,,Strongly Agree,Strongly Disagree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,45-54,Independent,Strongly disapprove,College degree,White,Married,Unlikely,DK/REF,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,65+,Democrat,DK/REF,Graduate degree,White,Widowed,Unlikely,Not Real At All,0,Somewhat Agree,Somewhat Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Somewhat Approve,Some college,White,Married,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Female,45-54,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Male,65+,Republican,Strongly Approve,College degree,White,Married,Unlikely,Real but not Caused by People,2,DK/REF,Strongly Agree,Too Low,FALSE,Dumb and happy,DK/REF,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,25-34,DK/REF,Strongly disapprove,High school,DK/REF,Single,Likely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Female,55-64,Republican,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Male,65+,Independent,Strongly Approve,High school,White,Widowed,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,65+,DK/REF,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,About Right,TRUE,DK/REF,Acceptable,Yes
Male,45-54,Independent,Strongly disapprove,Some college,White,Divorced,Likely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Male,35-44,DK/REF,Neither approve nor disapprove,High school,White,Single,Unlikely,DK/REF,5,Neither Agree nor Disagree,Somewhat Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Male,55-64,Republican,Strongly Approve,High school,White,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,High school,Black,Single,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,35-44,Republican,Somewhat Approve,High school,White,In a relationship,Unlikely,Not Real At All,2,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Other,25-34,Independent,DK/REF,Graduate degree,DK/REF,DK/REF,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Female,45-54,Independent,Strongly Approve,High school,White,In a relationship,Unlikely,DK/REF,3,Strongly Disagree,Somewhat Agree,Too High,TRUE,Dumb and happy,Acceptable,No
Female,35-44,Democrat,DK/REF,College degree,White,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Somewhat Agree,About Right,DK/REF,Smart and Sad,Acceptable,Yes
Male,25-34,Democrat,Somewhat disapprove,High school,Black,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Male,45-54,Democrat,Strongly Approve,Some college,White,Married,Likely,Real but not Caused by People,0,Strongly Agree,Somewhat Disagree,About Right,TRUE,Smart and Sad,Unacceptable,No
Male,45-54,DK/REF,Neither approve nor disapprove,Some college,Other,Single,Likely,Not Real At All,5,Strongly Disagree,Somewhat Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Female,55-64,Independent,Strongly disapprove,Graduate degree,White,Single,Unlikely,DK/REF,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Male,25-34,Democrat,Somewhat disapprove,High school,Latino,In a relationship,Likely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Male,35-44,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Male,18-24,Independent,Somewhat disapprove,Some college,Black,Single,DK/REF,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,18-24,DK/REF,DK/REF,DK/REF,White,Single,Unlikely,Not Real At All,,Strongly Disagree,Strongly Disagree,DK/REF,DK/REF,Smart and Sad,Acceptable,No
Male,35-44,Independent,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,3,Strongly Agree,Somewhat Agree,About Right,FALSE,Smart and Sad,Unacceptable,No
Male,65+,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Not Real At All,0,Strongly Disagree,Somewhat Agree,About Right,TRUE,Smart and Sad,Acceptable,Yes
Male,35-44,DK/REF,DK/REF,Graduate degree,White,Married,Unlikely,DK/REF,,DK/REF,DK/REF,DK/REF,TRUE,DK/REF,DK/REF,Yes
Male,35-44,DK/REF,DK/REF,College degree,Black,Married,Unlikely,Real and Caused by People,,DK/REF,Strongly Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Female,18-24,DK/REF,DK/REF,Some college,White,Single,Unlikely,Real but not Caused by People,2,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,Graduate degree,Asian,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Unacceptable,No
Female,55-64,DK/REF,DK/REF,Some college,Asian,Single,Unlikely,Real and Caused by People,0,DK/REF,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Independent,Somewhat disapprove,Some college,White,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,Yes
Female,55-64,Independent,Strongly disapprove,Some college,White,Divorced,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Acceptable,DK/REF
Female,55-64,Republican,DK/REF,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,DK/REF,TRUE,DK/REF,Unacceptable,No
Male,65+,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,DK/REF,Too Low,TRUE,DK/REF,DK/REF,No
Male,55-64,Independent,Strongly Approve,Graduate degree,DK/REF,Divorced,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,Too High,FALSE,DK/REF,Unacceptable,Yes
Female,55-64,Democrat,Strongly disapprove,College degree,Black,In a relationship,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Republican,Somewhat Approve,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Disagree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,18-24,DK/REF,DK/REF,College degree,White,In a relationship,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,About Right,TRUE,DK/REF,Unacceptable,Yes
Male,55-64,Independent,Strongly Approve,Graduate degree,White,Married,DK/REF,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,About Right,FALSE,Smart and Sad,Acceptable,No
Male,45-54,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,DK/REF
Male,55-64,Democrat,Strongly disapprove,High school,Black,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,About Right,DK/REF,Smart and Sad,Unacceptable,No
Female,45-54,Democrat,Strongly disapprove,High school,Latino,Single,Unlikely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,DK/REF,TRUE,DK/REF,Acceptable,Yes
Male,45-54,DK/REF,Strongly Approve,Graduate degree,DK/REF,DK/REF,Likely,DK/REF,5,DK/REF,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Female,55-64,Independent,Strongly disapprove,Some college,Black,Divorced,Likely,DK/REF,0,DK/REF,Strongly Agree,DK/REF,TRUE,Dumb and happy,Unacceptable,No
Male,45-54,Democrat,Somewhat Approve,College degree,White,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,18-24,Independent,Strongly disapprove,Some college,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,DK/REF,DK/REF,Smart and Sad,Acceptable,No
Female,65+,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,Yes
Female,55-64,Democrat,Strongly disapprove,Graduate degree,Black,Single,Unlikely,Real but not Caused by People,0,Somewhat Agree,Strongly Agree,Too High,TRUE,DK/REF,Unacceptable,No
Male,35-44,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,35-44,Independent,Neither approve nor disapprove,College degree,White,Married,Unlikely,Real and Caused by People,5,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Female,45-54,Independent,DK/REF,Some college,Black,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Male,65+,Republican,Strongly Approve,High school,White,Widowed,DK/REF,Real and Caused by People,,DK/REF,DK/REF,Too Low,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,Independent,Strongly Approve,College degree,Asian,Married,Unlikely,Real and Caused by People,5,Strongly Disagree,Strongly Disagree,About Right,FALSE,Dumb and happy,Unacceptable,Yes
Male,65+,Independent,DK/REF,Graduate degree,White,Single,Unlikely,Real but not Caused by People,3,Somewhat Disagree,Strongly Disagree,About Right,FALSE,Smart and Sad,Unacceptable,Yes
Male,55-64,Independent,Strongly disapprove,Some college,DK/REF,Married,DK/REF,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Disagree,About Right,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,Democrat,Somewhat disapprove,Some college,Black,Married,Likely,Real and Caused by People,2,Somewhat Disagree,Somewhat Agree,Too Low,DK/REF,Dumb and happy,Unacceptable,No
Female,25-34,Independent,Somewhat disapprove,High school,Latino,In a relationship,Likely,Not Real At All,3,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,High school,Black,In a relationship,Likely,Not Real At All,0,Somewhat Agree,Strongly Disagree,Too High,FALSE,Smart and Sad,Acceptable,Yes
Female,35-44,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Independent,Strongly Approve,Graduate degree,White,Married,Unlikely,Not Real At All,1,DK/REF,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,DK/REF,Strongly disapprove,High school,White,Married,Likely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Republican,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,4,Somewhat Disagree,Strongly Agree,DK/REF,FALSE,Dumb and happy,Acceptable,No
Female,45-54,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Female,55-64,Republican,Strongly Approve,High school,White,In a relationship,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Male,55-64,Independent,Somewhat disapprove,College degree,Asian,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Female,55-64,Republican,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,No
Male,55-64,DK/REF,Strongly disapprove,DK/REF,Other,Widowed,Unlikely,Real and Caused by People,,Somewhat Agree,DK/REF,Too Low,FALSE,Dumb and happy,Acceptable,DK/REF
Female,45-54,Republican,Strongly Approve,Some college,White,In a relationship,Likely,Real and Caused by People,1,DK/REF,Strongly Disagree,DK/REF,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,DK/REF,Somewhat disapprove,Some college,White,Married,Likely,Real but not Caused by People,2,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,DK/REF
Female,65+,Republican,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0,Strongly Disagree,Somewhat Disagree,Too High,FALSE,Smart and Sad,Unacceptable,Yes
Female,55-64,Republican,Strongly Approve,High school,White,Single,Unlikely,Real but not Caused by People,0,Somewhat Disagree,Somewhat Agree,Too High,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Democrat,Strongly disapprove,Some college,White,Divorced,Unlikely,Not Real At All,,Strongly Disagree,Strongly Disagree,Too High,TRUE,Dumb and happy,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,High school,White,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,DK/REF,No
Female,35-44,Independent,Somewhat Approve,College degree,White,Single,Unlikely,Real and Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Female,55-64,Democrat,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,About Right,DK/REF,Dumb and happy,Unacceptable,DK/REF
Female,55-64,Democrat,Strongly disapprove,Graduate degree,Latino,Widowed,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,25-34,Democrat,Strongly disapprove,Some college,White,Single,DK/REF,Real and Caused by People,0,DK/REF,Strongly Agree,DK/REF,DK/REF,Dumb and happy,Unacceptable,Yes
Male,65+,Republican,Strongly disapprove,High school,White,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,Too High,TRUE,Dumb and happy,Acceptable,No
Male,45-54,Republican,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Acceptable,Yes
Male,35-44,DK/REF,Strongly Approve,High school,White,Married,Unlikely,Not Real At All,2,Strongly Disagree,Somewhat Agree,Too High,TRUE,Smart and Sad,Unacceptable,No
Female,45-54,Independent,Strongly disapprove,High school,White,Divorced,Likely,Not Real At All,0,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,Some college,White,In a relationship,DK/REF,Real and Caused by People,,Strongly Agree,Strongly Agree,Too Low,DK/REF,Dumb and happy,Unacceptable,Yes
Male,55-64,Republican,Somewhat Approve,High school,White,Married,Unlikely,DK/REF,0,DK/REF,Strongly Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,Graduate degree,White,Married,Likely,Real but not Caused by People,,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,Yes
Male,55-64,DK/REF,Somewhat Approve,Graduate degree,DK/REF,Married,Unlikely,Not Real At All,0,Strongly Disagree,Strongly Disagree,Too High,FALSE,Smart and Sad,Acceptable,No
Male,55-64,Republican,Strongly Approve,Some college,White,Married,DK/REF,Real but not Caused by People,2,Neither Agree nor Disagree,Somewhat Agree,About Right,TRUE,DK/REF,Unacceptable,No
Male,55-64,Independent,Strongly disapprove,Some college,White,Married,Unlikely,Real and Caused by People,,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,55-64,Independent,Strongly disapprove,Graduate degree,White,In a relationship,Unlikely,Real and Caused by People,1,Strongly Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,45-54,Independent,Somewhat Approve,College degree,DK/REF,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Female,65+,Republican,Strongly Approve,High school,White,Widowed,Unlikely,Not Real At All,0,Somewhat Disagree,Somewhat Agree,About Right,FALSE,DK/REF,Unacceptable,DK/REF
Female,65+,Democrat,Strongly disapprove,Graduate degree,White,Married,Likely,Real and Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,55-64,Republican,Strongly Approve,Graduate degree,White,Married,Unlikely,Not Real At All,0,Somewhat Disagree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Female,55-64,Independent,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,,Strongly Agree,Somewhat Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Male,45-54,DK/REF,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,1,Somewhat Disagree,Strongly Agree,Too High,FALSE,DK/REF,DK/REF,No
Male,35-44,Independent,Strongly disapprove,Graduate degree,Other,Single,Unlikely,Real and Caused by People,,Somewhat Disagree,Somewhat Disagree,Too High,TRUE,Smart and Sad,Unacceptable,Yes
Male,45-54,DK/REF,Somewhat Approve,High school,White,Married,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,Too High,FALSE,Smart and Sad,Unacceptable,No
Male,65+,Independent,Neither approve nor disapprove,College degree,White,Married,Likely,Real but not Caused by People,0,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Male,25-34,Republican,Somewhat Approve,College degree,Asian,In a relationship,Unlikely,Real but not Caused by People,1,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Acceptable,No
Male,45-54,DK/REF,Neither approve nor disapprove,High school,Black,Single,Unlikely,DK/REF,0,DK/REF,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Other,25-34,Democrat,Strongly Approve,High school,Black,Single,Unlikely,DK/REF,,Strongly Agree,Strongly Agree,Too High,DK/REF,Dumb and happy,Unacceptable,Yes
Female,55-64,DK/REF,DK/REF,High school,White,Married,Unlikely,DK/REF,0,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Smart and Sad,Unacceptable,No
Female,25-34,DK/REF,DK/REF,Some college,White,Single,Unlikely,DK/REF,,DK/REF,Somewhat Agree,DK/REF,TRUE,Smart and Sad,Acceptable,No
Female,35-44,Independent,Strongly Approve,College degree,White,In a relationship,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Unacceptable,No
Male,65+,Independent,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Female,65+,Democrat,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Male,45-54,Independent,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,4,Somewhat Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Acceptable,Yes
Male,55-64,Independent,Strongly Approve,Some college,White,Married,Unlikely,Not Real At All,0,Strongly Disagree,Neither Agree nor Disagree,Too High,TRUE,Smart and Sad,Acceptable,Yes
Female,45-54,DK/REF,DK/REF,Graduate degree,Black,Divorced,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Disagree,About Right,TRUE,Dumb and happy,Unacceptable,No
Female,25-34,Democrat,Strongly disapprove,College degree,Black,Single,Unlikely,Real and Caused by People,3,Somewhat Disagree,Somewhat Agree,Too High,TRUE,Dumb and happy,Unacceptable,Yes
Female,45-54,Republican,Neither approve nor disapprove,College degree,White,Married,Unlikely,Not Real At All,,Somewhat Agree,Somewhat Agree,DK/REF,FALSE,Smart and Sad,Acceptable,No
Female,65+,Independent,Strongly Approve,Graduate degree,White,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Somewhat Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,65+,Independent,Strongly disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,45-54,Republican,Strongly Approve,Some college,White,Married,Unlikely,Real but not Caused by People,0,Somewhat Agree,Somewhat Agree,About Right,TRUE,Dumb and happy,Acceptable,No
Female,25-34,Republican,Strongly disapprove,Some college,Latino,Single,Unlikely,Not Real At All,5,Somewhat Disagree,Somewhat Disagree,Too High,TRUE,Dumb and happy,Acceptable,Yes
Female,18-24,DK/REF,Strongly disapprove,Graduate degree,Latino,Single,Likely,Real and Caused by People,0,Somewhat Disagree,Strongly Disagree,About Right,FALSE,Smart and Sad,Unacceptable,No
Female,65+,Democrat,Somewhat disapprove,High school,Black,Widowed,Likely,Real and Caused by People,3,Strongly Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,No
Male,25-34,Democrat,Strongly disapprove,College degree,White,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,65+,Independent,Strongly disapprove,Other,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Male,25-34,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Male,18-24,Independent,Somewhat disapprove,College degree,Black,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Disagree,Strongly Agree,Too Low,TRUE,Smart and Sad,Unacceptable,No
Female,35-44,Republican,Strongly Approve,College degree,Black,Single,Unlikely,Real and Caused by People,2,Strongly Agree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,No
Female,55-64,Republican,Somewhat Approve,Graduate degree,White,Married,Unlikely,Real and Caused by People,1,Somewhat Disagree,Strongly Agree,About Right,FALSE,Dumb and happy,Unacceptable,Yes
Male,45-54,Republican,Strongly Approve,High school,White,In a relationship,Unlikely,Not Real At All,3,Strongly Disagree,Strongly Agree,About Right,TRUE,Smart and Sad,Unacceptable,Yes
Female,18-24,Democrat,Strongly disapprove,Some college,Latino,Single,Likely,Real and Caused by People,2,Neither Agree nor Disagree,Neither Agree nor Disagree,About Right,FALSE,Dumb and happy,Acceptable,No
Male,35-44,Democrat,Strongly disapprove,College degree,Latino,Single,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Smart and Sad,Acceptable,No
Male,45-54,Independent,Somewhat Approve,Some college,White,Married,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Acceptable,No
Female,45-54,Independent,Somewhat disapprove,College degree,White,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,About Right,FALSE,Dumb and happy,Acceptable,No
Male,45-54,Independent,Neither approve nor disapprove,Some college,White,Single,Unlikely,Not Real At All,0,Neither Agree nor Disagree,Strongly Agree,Too High,TRUE,Dumb and happy,Unacceptable,No
Female,35-44,Democrat,Somewhat disapprove,Graduate degree,White,Married,Unlikely,Real and Caused by People,0,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,Unacceptable,No
Male,65+,Independent,Strongly disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,3,Somewhat Agree,Somewhat Disagree,About Right,TRUE,Smart and Sad,Unacceptable,No
Male,55-64,Democrat,Strongly disapprove,Graduate degree,White,Single,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,DK/REF,No
Female,35-44,Independent,Somewhat disapprove,College degree,White,Married,Unlikely,Real and Caused by People,1,Strongly Agree,Strongly Agree,Too Low,TRUE,Dumb and happy,DK/REF,No
Female,35-44,Democrat,Strongly disapprove,Graduate degree,Latino,In a relationship,Unlikely,Real and Caused by People,1,Somewhat Agree,Somewhat Agree,Too High,FALSE,Smart and Sad,Acceptable,Yes
Female,35-44,Independent,DK/REF,College degree,White,Married,DK/REF,Real and Caused by People,0,Somewhat Agree,Strongly Agree,DK/REF,TRUE,Dumb and happy,Unacceptable,No
Female,18-24,Independent,DK/REF,College degree,White,In a relationship,Unlikely,Real and Caused by People,2,Somewhat Agree,Strongly Agree,Too Low,FALSE,Dumb and happy,Unacceptable,Yes
Male,65+,Democrat,Strongly disapprove,College degree,Black,Widowed,Unlikely,Real and Caused by People,0,Somewhat Agree,Strongly Agree,Too Low,FALSE,Smart and Sad,Unacceptable,No
Female,65+,Republican,Somewhat Approve,Some college,White,Widowed,Likely,Real but not Caused by People,0,Somewhat Agree,Strongly Disagree,About Right,TRUE,Dumb and happy,Unacceptable,No
